 GOCE MASS PROPERTIES COMPUTED ON 2013-11-11T06:05:02

       Time             Xs(m)   Ys(m)   Zs(m)  S/C Mass(KG)  N2 MASS  Xe MASS  Ixx(M2.KG)      Iyy      Izz      Ixy      Izx      Iyz
 -------------------   ------  ------  ------  ------------  -------  -------  ----------  -------  -------  -------  -------  -------
 2009-03-17T15:51:35   +2.499  +0.004  +0.001      1050.820   13.100   41.000       173.8   2823.9   2796.6     20.1     -1.8     -1.1
 2009-05-01T00:00:00   +2.499  +0.004  +0.001      1050.723   13.042   40.961       173.8   2823.7   2796.4     20.1     -1.8     -1.1
 2009-05-11T00:00:00   +2.499  +0.004  +0.001      1050.632   13.042   40.870       173.8   2823.6   2796.3     20.1     -1.8     -1.1
 2009-05-18T00:00:00   +2.500  +0.004  +0.001      1050.588   13.042   40.826       173.8   2823.5   2796.2     20.1     -1.8     -1.1
 2009-05-25T00:00:00   +2.500  +0.004  +0.001      1050.588   13.042   40.826       173.8   2823.5   2796.2     20.1     -1.8     -1.1
 2009-06-01T00:00:00   +2.500  +0.004  +0.001      1050.474   13.042   40.712       173.8   2823.4   2796.1     20.1     -1.8     -1.1
 2009-06-08T00:00:00   +2.500  +0.004  +0.001      1050.324   13.042   40.561       173.8   2823.2   2795.9     20.1     -1.8     -1.1
 2009-06-15T00:00:00   +2.500  +0.004  +0.001      1050.173   13.042   40.410       173.8   2823.0   2795.7     20.1     -1.8     -1.1
 2009-06-22T00:00:00   +2.500  +0.004  +0.001      1049.581   12.605   40.256       173.8   2821.9   2794.6     20.1     -1.8     -1.1
 2009-06-29T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-07-06T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-07-13T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-07-20T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-07-27T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-08-03T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-08-10T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-08-17T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-08-24T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-08-31T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-09-07T00:00:00   +2.500  +0.004  +0.001      1049.540   12.605   40.215       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-09-14T00:00:00   +2.500  +0.004  +0.001      1049.538   12.605   40.213       173.8   2821.8   2794.5     20.1     -1.8     -1.1
 2009-09-21T00:00:00   +2.500  +0.004  +0.001      1049.385   12.605   40.060       173.8   2821.6   2794.3     20.1     -1.8     -1.1
 2009-09-28T00:00:00   +2.500  +0.004  +0.001      1049.232   12.605   39.907       173.8   2821.4   2794.1     20.1     -1.8     -1.1
 2009-10-05T00:00:00   +2.500  +0.004  +0.001      1048.782   12.310   39.752       173.8   2820.6   2793.3     20.1     -1.8     -1.1
 2009-10-12T00:00:00   +2.500  +0.004  +0.001      1048.628   12.310   39.599       173.8   2820.4   2793.1     20.1     -1.8     -1.1
 2009-10-12T00:01:00   +2.499  +0.004  +0.001      1048.286   11.967   39.598       173.8   2819.7   2792.4     20.1     -1.8     -1.1
 2009-10-19T00:00:00   +2.500  +0.004  +0.001      1048.174   11.967   39.487       173.8   2819.5   2792.2     20.1     -1.8     -1.1
